27-Co-56		3009.559
27-Co-56		3201.930
31-Ga-66		3228.800
27-Co-56		3253.402
27-Co-56		3272.978
31-Ga-66		3380.850
31-Ga-66		3422.040
27-Co-56		3451.119
31-Ga-66		3791.004
31-Ga-66		4085.853
31-Ga-66		4295.187
31-Ga-66		4461.202
31-Ga-66		4806.007
