Dy	Dy	165	94.7
Dy	Dy	165	279.8
Dy	Dy	165	361.7
Dy	Dy	165	633.4
Dy	Dy	165	715.3
Dy	Dy	165	108.2
Dy	Dy	165	515.5
Ho	Ho	166	80.6
Ho	Ho	166	1379.4
Ho	Ho	166	1581.9
Ho	Ho	166	1662.5
Er	Er	171	111.6
Er	Er	171	116.7
Er	Er	171	124
Er	Er	171	210.6
Er	Er	171	237.1
Er	Er	171	295.9
Er	Er	171	308.3
Tm	Tm	170	84.3
Yb	Yb	169	63.1
Yb	Yb	169	109.8
Yb	Yb	169	130.5
Yb	Yb	169	177.2
Yb	Yb	169	198
Yb	Yb	169	307.7
Yb	Yb	175	113.8
Yb	Yb	175	137.7
Yb	Yb	175	144.9
Yb	Yb	175	282.5
Yb	Yb	175	396.3
Yb	Yb	177	122.7
Yb	Yb	177	139.3
Yb	Yb	177	150.6
Yb	Yb	177	898.9
Yb	Yb	177	941.8
Yb	Yb	177	1028.1
Yb	Yb	177	1080.2
Yb	Yb	177	1119.7
Yb	Yb	177	1149.8
Yb	Yb	177	1241.2
Lu	Lu	176	88.4
Lu	Lu	177	112.9
Lu	Lu	177	208.4
Hf	Hf	175	343.4
Hf	Hf	179	214.3
Hf	Hf	180	93.3
Hf	Hf	180	215.4
Hf	Hf	180	332.3
Hf	Hf	180	443.2
Hf	Hf	180	500.7
Hf	Hf	181	133
Hf	Hf	181	133.5
Hf	Hf	181	136.4
Hf	Hf	181	345.9
Hf	Hf	181	482.2
Ta	Ta	182	67.8
Ta	Ta	182	100.1
Ta	Ta	182	152.4
Ta	Ta	182	222.1
Ta	Ta	182	1121.3
Ta	Ta	182	1189.1
Ta	Ta	182	1221.4
Ta	Ta	182	1231
W	W	187	134.2
W	W	187	479.6
W	W	187	551.5
W	W	187	618.3
W	W	187	685.7
W	W	187	772.9
Re	Re	186	122.6
Re	Re	186	137.2
Re	Re	188	155
Re	Re	188	478
Re	Re	188	633
Re	Re	188	633.2
Re	Re	188	635
Re	Re	188	829.5
Re	Re	188	931.3
Re	Re	188	92.4
Re	Re	188	106
Os	Os	185	646.1
Os	Os	191	129.4
Os	Os	193	138.9
Os	Os	193	139
Os	Os	193	142.1
Os	Os	193	180.9
Os	Os	193	219.1
Os	Os	193	251.6
Os	Os	193	280.4
Os	Os	193	298.8
Os	Os	193	321.6
Os	Os	193	361.8
Os	Os	193	387.5
Os	Os	193	460.5
Os	Os	193	557.4
Os	Os	193	557.9
Os	Os	193	559.3
Ir	Ir	192	296
Ir	Ir	192	308.5
Ir	Ir	192	316.5
Ir	Ir	192	468.1
Ir	Ir	194	293.5
Ir	Ir	194	328.4
Ir	Ir	194	645.1
Ir	Ir	194	938.7
Ir	Ir	194	1150.8
Pt	Au	199	158.4
Pt	Au	199	208.2
Au	Au	198	411.8
Hg	Hg	197	134
Hg	Hg	203	279.2
Hg	Hg	205	203.7
Th	Pa	233	300.1
Th	Pa	233	311.9
Th	Pa	233	340.5
Th	Pa	233	375.4
Th	Pa	233	398.5
Th	Pa	233	415.8
U	U	239	74.7
U	Np	239	106.1
U	Np	239	209.8
U	Np	239	228.1
U	Np	239	228.2
U	Np	239	277.6
U	Np	239	285.8
U	Np	239	315.9
U	Np	239	334.2
