898.1	Y	92.7	107D
898.0	Rb	14.1	17.8M
904.3	Ac	0.9	Long
911.2	Ac	29.0	Long
919.6	La	2.7	40.3H
925.2	La	7.1	40.3H
934.0	Bi	3.2	Long
937.5	Ag	34.4	250D
954.6	I	18.1	2.28H
964.1	Eu	14.5	13.3Y
964.6	Ac	5.8	Long
968.2	Sb	1.9	60.2D
969.0	Ac	17.4	Long
985.8	Kr	1.3	2.84H
996.3	Eu	10.3	8.8Y
1001.0	Pa	0.7	Long
1004.8	Eu	17.9	8.8Y
1009.8	Cs	29.8	32.2M
1038.6	Cs	1.0	2.06Y
1045.1	Sb	1.9	60.2D
1046.6	Rh	33.0	2.9Y
1048.1	Cs	79.7	13.2D
1050.4	Ru	1.5	372D
1063.1	Bi	74.9	32.2Y
1085.9	Eu	9.9	13.3Y
1099.3	Fe	56.5	44.5D
1103.2	Rh	2.9	207D
1103.2	Rh	4.4	2.9Y
1112.1	Eu	13.6	13.3Y
1112.9	Rh	18.	2.9Y
1114.3	Xe	1.5	14.1M
1115.5	Zn	50.8	244D
1120.3	Bi	15.0	Long
1136.2	I	3.0	2.28H
1141.4	Kr	1.3	2.84H
1143.6	I	1.4	2.28H
1147.3	Cs	1.2	32.2M
1155.2	Bi	1.7	Long
1167.9	Cs	1.8	2.06Y
1173.2	Co	99.9	5.27Y
1173.3	I	1.1	2.28H
1175.5	Kr	1.1	76.3M
1212.9	Eu	1.4	13.3Y
1235.4	Cs	19.8	13.2D
1238.1	Bi	5.9	Long
1274.5	Na	99.9	2.60Y
1274.5	Eu	35.5	8.8Y
1281.0	Bi	1.5	Long
1290.8	I	1.1	2.28H
1291.6	Fe	43.2	44.5D
1293.6	Ar	99.2	1.83H
1295.4	I	2.0	2.28H
1299.2	Eu	1.6	13.3Y
1325.5	Sb	1.6	60.2D
1332.5	Co	100.0	5.27Y
1343.6	Cs	1.1	32.2M
1365.2	Cs	3.0	2.06Y
1368.2	Sb	2.7	60.2D
1368.6	Na	100.0	14.7H
1369.4	Kr	1.5	2.84H
1372.1	I	2.5	2.28H
1377.7	Bi	4.0	Long
1384.3	Ag	24.3	250D
1398.6	I	7.1	2.28H
1401.5	Bi	1.4	Long
1408.0	Bi	2.5	Long
1408.0	Eu	20.8	13.3Y
1435.8	Cs	76.3	32.2M
1436.6	Sb	1.3	60.2D
1442.5	I	1.4	2.28H
1459.2	Ac	1.1	Long
1460.8	K	10.7	1.3E9
1475.8	Ag	4.0	250D
1499.0	Ac	1.6	Long
1505.0	Ag	13.0	250D
1509.2	Bi	2.2	Long
1518.4	Kr	2.2	2.84H
1529.8	Kr	10.9	2.84H
1588.2	Ac	3.6	Long
1596.5	La	95.4	40.3H
1596.6	Eu	1.7	8.8Y
1620.7	Bi	1.5	Long
1630.5	Ac	2.0	Long
1661.3	Bi	1.2	Long
1691.0	Sb	47.1	60.2D
1729.6	Bi	3.1	Long
1740.6	Kr	2.0	76.3M
1764.5	Bi	15.9	Long
1768.4	Xe	16.7	14.1M
1769.7	207Bi	6.9	32.2Y
1836.1	Rb	21.4	17.8M
1836.1	Y	99.4	107D
1847.4	Bi	2.1	Long
1850.9	Xe	1.4	14.1M
1921.1	I	1.2	2.28H
2002.4	I	1.1	2.28H
2004.8	Xe	5.4	14.1M
2011.9	Kr	2.9	76.3M
2015.9	Xe	12.3	14.1M
2029.9	Kr	4.5	2.84H
2035.5	Kr	3.7	2.84H
2079.3	Xe	1.4	14.1M
2090.9	Sb	5.5	60.2D
2118.5	Bi	1.2	Long
2195.8	Kr	13.2	2.84H
2204.1	Bi	5.0	Long
2217.8	Cs	15.2	32.2M
2231.8	Kr	3.4	2.84H
2252.3	Xe	2.3	14.1M
