SB122  692.8    3.7     2.7  d
I124   602.7    59.0    4.2  d
I124   722.8    9.7     4.2  d
I124   1509.5   2.9     4.2  d
I124   1691.0   10.1    4.2  d
SB124  602.7    97.9     60  d
SB124  645.8    7.3      60  d
SB124  709.3    1.4      60  d
SB124  713.8    2.4      60  d
SB124  722.8    11.1     60  d
SB124  968.2     1.9     60  d
SB124  1045.2    1.9     60  d
SB124  1325.5    1.5     60  d
SB124  1355.2    1.0     60  d
SB124  1368.2    2.5     60  d
SB124  1436.6    1.1     60  d
SB124  1691.0    49.0    60  d
SB125  176.3     6.9    2.8  y
SB125  380.4     1.5    2.8  y
SB125  427.4     29.3   2.8  y
SB125  463.4     10.4   2.8  y
SB125  600.6     17.8   2.8  y
SB125  606.6     5.0    2.8  y
SB125  635.9     11.3   2.8  y
SB125  671.4     1.8    2.8  y
SB125  188.4     55.1   2.8  y
SB125  243.4     28.9   2.8  y
XE125  188.4     55.1    17  h
XE125  243.4     28.9    17  h
I126   388.6     29.1    13  d
SB126  666.3     99.6    12  d
SB126  695.0     99.6    12  d
SB126  697.0     29.0    12  d
SB126  720.5     53.8    12  d
SB126  856.8     17.6    12  d
I130   418.0     34.2    12  h
I130   536.1     99.0    12  h
I130   668.5     96.1    12  h
I130   739.5     82.3    12  h
I130   1157.5    11.3    12  h
I131   80.2      2.6      8  d
I131   284.3     6.1      8  d
I131   364.5     81.2     8  d
I131   637.0     7.3      8  d
I131   722.9     1.8      8  d
XE131m 163.9     2.0     12  d
I132   505.9    5.0     2.3  h
I132   522.7   16.1     2.3  h
I132   630.2   13.7     2.3  h
I132   667.7   98.7     2.3  h
I132   669.8    4.9     2.3  h
I132   671.6    5.2     2.3  h
I132   728.5    1.1     2.3  h
I132   772.6   76.2     2.3  h
I132   812.2    5.6     2.3  h
I132   954.5   18.1     2.3  h
I132   1398.6   7.1     2.3  h
TE132  111.8     1.9     78  h
TE132  116.3     1.9     78  h
TE132  228.2    88.0     78  h
BA133  79.6     2.5      10  y
BA133  81.0    33.0      10  y
BA133  276.4    6.9      10  y
BA133  302.8  17.08      10  y
BA133  356.0   60.0      10  y
BA133  383.9    8.7      10  y
I133   529.9    86.3     21  h
I133   875.3     4.5     21  h
XE133  81.0     36.7    5.2  d
XE133m 233.2    10.3    2.2  d
CS134  475.4   1.5      2.1  y
